nomor_pendaftaran,JK,bidikmisi,Sekolah,Kabupaten,Provinsi,Pilihan 1,Pilihan 2,Ranking Sekolah,Nilai Mapel UN,Lulus pada Prodi,Lulus Pilihan,X1,X2,X3,X4,X5,X6,X7,X8
4180526488,P,Bidik Misi,SMAN 1 BANTARUJEG,Kab Majalengka,Jawa Barat,MANAJEMEN,Tidak Memilih,144,82.28,Tidak Lulus,Tidak Lulus,10.4,10.3,1,0,10.3,10.3,10.3,10.3
4180526667,P,Bidik Misi,SMKN 2 GARUT,Kab Garut,Jawa Barat,TEKNIK SIPIL ,Tidak Memilih,72,82.51,Tidak Lulus,Tidak Lulus,10.3,10.3,1,0,10.3,10.3,10.3,10.3
4180526841,L,Reguler,SMAN 1 CIGOMBONG,Kab Bogor,Jawa Barat,TEKNIK INFORMATIKA,Tidak Memilih,221,83.57,Tidak Lulus,Tidak Lulus,10.6,10.4,1,0,10.4,10.4,10.4,10.4
4180527405,L,Bidik Misi,SMAN 1 MANONJAYA,Kab Tasikmalaya,Jawa Barat,EKONOMI PEMBANGUNAN,Tidak Memilih,132,84.55,Tidak Lulus,Tidak Lulus,10.8,10.6,1,0,10.6,10.6,10.6,10.6
4180528139,P,Reguler,MAN RANCAH,Kab Ciamis,Jawa Barat,PENDIDIKAN MATEMATIKA,Tidak Memilih,19,83.69,Tidak Lulus,Tidak Lulus,10.4,10.5,1,0,10.5,10.5,10.5,10.5
4180532124,P,Reguler,SMAN 6 KABUPATEN TANGERANG,Kab Tangerang,Banten,KESEHATAN MASYARAKAT,Tidak Memilih,175,80.93,Tidak Lulus,Tidak Lulus,10.3,10.1,1,0,10.1,10.1,10.1,10.1
4180533157,L,Bidik Misi,SMAN 1 CILILIN,Kab Bandung Barat,Jawa Barat,TEKNIK SIPIL ,Tidak Memilih,246,81.34,Tidak Lulus,Tidak Lulus,10.4,10.2,1,0,10.2,10.2,10.2,10.2
4180533508,P,Reguler,SMA NEGERI 10 DEPOK,Kota Depok,Jawa Barat,PENDIDIKAN EKONOMI,Tidak Memilih,113,80.17,Tidak Lulus,Tidak Lulus,10.1,10,1,0,10,10,10,10
4180533871,L,Reguler,SMAN 1 MASOHI,Kab Maluku Tengah,Maluku,TEKNIK INFORMATIKA,Tidak Memilih,106,79.14,Tidak Lulus,Tidak Lulus,10,9.9,1,0,9.9,9.9,9.9,9.9
4180534928,P,Bidik Misi,MAS ATHORIYYAH CIKATOMAS,Kab Tasikmalaya,Jawa Barat,AGROTEKNOLOGI ,Tidak Memilih,64,82.16,Tidak Lulus,Tidak Lulus,10.4,10.3,1,0,10.3,10.3,10.3,10.3
4180535167,P,Bidik Misi,SMAS YAS SINDANGKERTA,Kab Bandung Barat,Jawa Barat,AGRIBISNIS ,Tidak Memilih,109,83.33,Tidak Lulus,Tidak Lulus,10.3,10.4,1,0,10.4,10.4,10.4,10.4
4180536375,L,Reguler,SMAN 3 SUBANG,Kab Subang,Jawa Barat,TEKNIK SIPIL ,Tidak Memilih,264,78.47,Tidak Lulus,Tidak Lulus,9.9,9.8,1,0,9.8,9.8,9.8,9.8
4180536976,P,Bidik Misi,SMKS KESEHATAN BHAKTI KENCANA,Kab Garut,Jawa Barat,KESEHATAN MASYARAKAT,Tidak Memilih,87,85.34,Tidak Lulus,Tidak Lulus,10.1,10.7,1,0,10.7,10.7,10.7,10.7
4180537489,P,Reguler,SMAN 1 CIBARUSAH,Kab Bekasi,Jawa Barat,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,Tidak Memilih,313,81.94,Tidak Lulus,Tidak Lulus,10.3,10.2,1,0,10.2,10.2,10.2,10.2
4180539431,P,Reguler,SMAS PATRIOT BEKASI,Kota Bekasi,Jawa Barat,AGROTEKNOLOGI ,Tidak Memilih,28,80.54,Tidak Lulus,Tidak Lulus,10.1,10.1,1,0,10.1,10.1,10.1,10.1
4180539531,L,Reguler,SMAS YADIKA 9,Kota Bekasi,Jawa Barat,AGRIBISNIS ,Tidak Memilih,23,80.09,Tidak Lulus,Tidak Lulus,10,10,1,0,10,10,10,10
4180540910,P,Reguler,SMAN 7 BEKASI,Kota Bekasi,Jawa Barat,TEKNIK SIPIL ,Tidak Memilih,235,82.72,Tidak Lulus,Tidak Lulus,10.4,10.3,1,0,10.3,10.3,10.3,10.3
4180545159,P,Reguler,SMKS BINA HUSADA MANDIRI,Kota Bekasi,Jawa Barat,KESEHATAN MASYARAKAT,Tidak Memilih,39,80.97,Tidak Lulus,Tidak Lulus,11,10.1,1,0,10.1,10.1,10.1,10.1
4180545240,P,Reguler,SMAS ISLAM PB SUDIRMAN,Kota Bekasi,Jawa Barat,AGRIBISNIS ,Tidak Memilih,156,82.4,Tidak Lulus,Tidak Lulus,10.5,10.3,1,0,10.3,10.3,10.3,10.3
4180545848,P,Reguler,SMKS IT RAFLESIA,Kota Depok,Jawa Barat,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,Tidak Memilih,39,85.37,Tidak Lulus,Tidak Lulus,10.4,10.7,1,0,10.7,10.7,10.7,10.7
4180546130,P,Reguler,SMAN 1 DAYEUHKOLOT,Kab Bandung,Jawa Barat,KESEHATAN MASYARAKAT,Tidak Memilih,264,79.67,Tidak Lulus,Tidak Lulus,10,10,1,0,10,10,10,10
4180547961,L,Reguler,SMAS YADIKA 13,Kab Bekasi,Jawa Barat,MANAJEMEN,Tidak Memilih,34,82.2,Tidak Lulus,Tidak Lulus,10.5,10.3,1,0,10.3,10.3,10.3,10.3
4180548121,P,Bidik Misi,MAN 2 CIAMIS,Kab Ciamis,Jawa Barat,KESEHATAN MASYARAKAT,Tidak Memilih,147,79.84,Tidak Lulus,Tidak Lulus,10.2,10,1,0,10,10,10,10
4180548155,P,Reguler,SMKS YPIB,Kab Majalengka,Jawa Barat,KESEHATAN MASYARAKAT,Tidak Memilih,59,82.37,Tidak Lulus,Tidak Lulus,10.2,10.3,1,0,10.3,10.3,10.3,10.3
4180551711,P,Reguler,SMKS IT RAFLESIA,Kota Depok,Jawa Barat,PENDIDIKAN MATEMATIKA,Tidak Memilih,39,88.11,Tidak Lulus,Tidak Lulus,10.4,11,1,0,11,11,11,11
4180553397,L,Reguler,SMKN 2 TASIKMALAYA,Kota Tasikmalaya,Jawa Barat,MANAJEMEN,Tidak Memilih,137,81.81,Tidak Lulus,Tidak Lulus,10.1,10.2,1,0,10.2,10.2,10.2,10.2
4180554075,L,Reguler,SMAS PLUS AL GHIFARI BANDUNG,Kota Bandung,Jawa Barat,TEKNIK SIPIL ,Tidak Memilih,50,81.54,Tidak Lulus,Tidak Lulus,10,10.2,1,0,10.2,10.2,10.2,10.2
4180554734,L,Reguler,SMAN 2 PRINGSEWU,Kab Pringsewu,Lampung,AGRIBISNIS ,Tidak Memilih,130,81.17,Tidak Lulus,Tidak Lulus,10.3,10.1,1,0,10.1,10.1,10.1,10.1
4180555647,L,Bidik Misi,SMKS KESEHATAN BHAKTI KENCANA,Kab Garut,Jawa Barat,GIZI,Tidak Memilih,87,82.21,Tidak Lulus,Tidak Lulus,10.5,10.3,1,0,10.3,10.3,10.3,10.3
4180558053,P,Reguler,SMAN 5 TASIKMALAYA,Kota Tasikmalaya,Jawa Barat,MANAJEMEN,Tidak Memilih,224,84.77,MANAJEMEN,pil_1,10.8,10.6,1,0,10.6,10.6,10.6,10.6
4180558312,P,Reguler,MAN TALAGA,Kab Majalengka,Jawa Barat,PENDIDIKAN MATEMATIKA,Tidak Memilih,85,91.88,PENDIDIKAN MATEMATIKA,pil_1,11.6,11.5,1,0,11.5,11.5,11.5,11.5
4180558336,L,Reguler,SMKS MITRA INDUSTRI,Kab Bekasi,Jawa Barat,TEKNIK ELEKTRO ,Tidak Memilih,38,81.44,Tidak Lulus,Tidak Lulus,10.1,10.2,1,0,10.2,10.2,10.2,10.2
4180560706,L,Reguler,SMKN 2 TASIKMALAYA,Kota Tasikmalaya,Jawa Barat,TEKNIK INFORMATIKA,Tidak Memilih,137,82.92,Tidak Lulus,Tidak Lulus,10,10.4,1,0,10.4,10.4,10.4,10.4
4180561125,L,Reguler,SMAS RIMBA MADYA,Kota Bogor,Jawa Barat,MANAJEMEN,Tidak Memilih,143,78.03,Tidak Lulus,Tidak Lulus,9.8,9.8,1,0,9.8,9.8,9.8,9.8
4180561197,P,Reguler,SMAN 8 BEKASI,Kota Bekasi,Jawa Barat,GIZI,Tidak Memilih,187,79.87,Tidak Lulus,Tidak Lulus,10.1,10,1,0,10,10,10,10
4180563006,P,Reguler,SMAS BAITUL HIKMAH TAROGONG KALER,Kab Garut,Jawa Barat,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,Tidak Memilih,21,83.74,Tidak Lulus,Tidak Lulus,10.5,10.5,1,0,10.5,10.5,10.5,10.5
4180563329,P,Reguler,SMKN 2 GARUT,Kab Garut,Jawa Barat,EKONOMI SYARIAH,Tidak Memilih,93,80.93,Tidak Lulus,Tidak Lulus,10.6,10.1,1,0,10.1,10.1,10.1,10.1
