nomor_pendaftaran,JK,bidikmisi,Sekolah,Kabupaten,Provinsi,Pilihan 1,Pilihan 2,Ranking Sekolah,Nilai Mapel UN,Lulus pada Prodi,Lulus Pilihan,X1,X2,X3,X4,X5,X6,X7,X8,X9,XT,IP Sem 1,IP Sem 2,Predikat Semester 1,Predikat Semester 2
4180534990,P,,SMAN 23 KABUPATEN TANGERANG,Kab Tangerang,Banten,AKUNTANSI,MANAJEMEN,141,75.33,,,9.5,9.4,1.0,0.0,9.4,9.4,9.4,9.4,7.5,65.1,,,,
4180535070,P,Bidik Misi,SMAN 2 CIKAMPEK,Kab Karawang,Jawa Barat,PENDIDIKAN BAHASA INGGRIS ,KESEHATAN MASYARAKAT,255,81.54,,,10.2,10.2,1.0,0.0,10.2,10.2,10.2,10.2,7.5,69.7,,,,
4180535167,P,Bidik Misi,SMAS YAS SINDANGKERTA,Kab Bandung Barat,Jawa Barat,AGRIBISNIS ,,109,83.33,,,10.3,10.4,1.0,0.0,10.4,10.4,10.4,10.4,7.5,69.9,,,,
4180535433,L,,SMKN 1 KAWALI,Kab Ciamis,Jawa Barat,TEKNIK INFORMATIKA,MANAJEMEN,67,82.11,,,10.3,10.3,1.0,0.0,10.3,10.3,10.3,10.3,10.0,72.7,,,,
4180536104,P,Bidik Misi,SMAS TAMAN ISLAM,Kab Bogor,Jawa Barat,EKONOMI PEMBANGUNAN,PENDIDIKAN GEOGRAFI,51,81.71,,,10.2,10.2,1.0,0.0,10.2,10.2,10.2,10.2,7.5,69.8,,,,
4180536375,L,,SMAN 3 SUBANG,Kab Subang,Jawa Barat,TEKNIK SIPIL ,,264,78.47,,,9.9,9.8,1.0,0.0,9.8,9.8,9.8,9.8,7.5,67.5,,,,
4180536972,P,,SMAN 1 CIKALONG,Kab Tasikmalaya,Jawa Barat,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,AGRIBISNIS ,79,80.24,,,10.1,10.0,1.0,0.0,10.0,10.0,10.0,10.0,10.6,70.9,,,,
4180536976,P,Bidik Misi,SMKS KESEHATAN BHAKTI KENCANA,Kab Garut,Jawa Barat,KESEHATAN MASYARAKAT,,87,85.34,,,10.1,10.7,1.0,0.0,10.7,10.7,10.7,10.7,9.4,73.9,,,,
4180537162,P,,SMAN 4 TAMBUN SELATAN,Kab Bekasi,Jawa Barat,GIZI,KESEHATAN MASYARAKAT,296,81.60,,,10.3,10.2,1.0,0.0,10.2,10.2,10.2,10.2,7.5,69.8,,,,
4180537189,P,Bidik Misi,SMAS KHZ MUSTOFA SUKAMANAH,Kab Tasikmalaya,Jawa Barat,ILMU POLITIK,KESEHATAN MASYARAKAT,76,83.06,,,10.5,10.4,1.0,0.0,10.4,10.4,10.4,10.4,10.6,74.0,,,,
4180017378,P,,SMAN 3 TASIKMALAYA,Kota Tasikmalaya,Jawa Barat,TEKNIK SIPIL,TEKNIK INFORMATIKA,259,83.19,TEKNIK SIPIL,pil_1,10.6,10.4,1.0,0.0,10.4,10.4,10.4,10.4,11.3,74.8,0,NULL,,
4180537306,L,Bidik Misi,SMAS TAMAN ISLAM,Kab Bogor,Jawa Barat,EKONOMI SYARIAH,PENDIDIKAN GEOGRAFI,51,79.29,,,9.9,9.9,1.0,0.0,9.9,9.9,9.9,9.9,7.5,67.9,,,,
