Tanggal,Mata Uang,Event,Aktual
2021-08-18,GBP,CPI (MoM)  (Jul),0.0%
2021-08-18,GBP,CPI (YoY)  (Jul),2.0%
2021-08-18,GBP,CPIH (YoY),2.1%
2021-08-19,USD,Continuing Jobless Claims,"2,820K"
2021-08-19,USD,Initial Jobless Claims,348K
2021-08-20,CNY,PBoC Loan Prime Rate,3.85%
2021-08-20,JPY,National Core CPI (YoY)  (Jul),-0.2%
2021-08-20,JPY,National CPI (MoM),0.2%
2021-08-24,EUR,German GDP (QoQ)  (Q2),1.6%
2021-08-24,EUR,German GDP (YoY)  (Q2),9.8%
2021-08-24,JPY,BoJ Core CPI (YoY),0.2%
2021-08-26,USD,Continuing Jobless Claims,"2,862K"
2021-08-26,USD,Core PCE Prices  (Q2),6.10%
2021-08-26,USD,GDP (QoQ)  (Q2),6.6%
2021-08-26,USD,GDP Price Index (QoQ)  (Q2),6.2%
2021-08-26,USD,Initial Jobless Claims,353K
2021-08-27,JPY,Tokyo Core CPI (YoY)  (Aug),0.0%
2021-08-27,USD,Core PCE Price Index (YoY)  (Jul),3.6%
2021-08-27,USD,Core PCE Price Index (MoM)  (Jul),0.3%
2021-08-27,USD,PCE Price index (YoY)  (Jul),4.2
2021-08-27,USD,PCE price index (MoM)  (Jul),0.4%
2021-08-30,EUR,German CPI (YoY)  (Aug),3.9%
2021-08-30,EUR,German CPI (MoM)  (Aug),0.0%
2021-08-31,CNY,Chinese Composite PMI  (Aug),48.9
2021-08-31,CNY,Manufacturing PMI  (Aug),50.1
2021-08-31,CNY,Non-Manufacturing PMI  (Aug),47.5
2021-08-31,EUR,German Unemployment Change  (Aug),-53K
2021-08-31,EUR,German Unemployment Rate  (Aug),5.5%
2021-08-31,USD,Chicago PMI  (Aug),66.8
2021-09-01,USD,ADP Nonfarm Employment Change  (Aug),374K
2021-09-01,USD,ISM Manufacturing PMI  (Aug),59.9
2021-09-02,USD,Continuing Jobless Claims,"2,748K"
2021-09-02,USD,Initial Jobless Claims,340K
2021-09-03,USD,Nonfarm Payrolls  (Aug),235K
2021-09-03,USD,Private Nonfarm Payrolls  (Aug),243K
2021-09-03,USD,U6 Unemployment Rate  (Aug),8.8%
2021-09-03,USD,Unemployment Rate  (Aug),5.2%
2021-09-03,USD,ISM Non-Manufacturing PMI  (Aug),61.7
2021-09-08,JPY,GDP (QoQ)  (Q2),0.5%
2021-09-08,JPY,GDP (YoY)  (Q2),1.9%
2021-09-08,JPY,GDP Price Index (YoY),-1.1%
2021-09-09,CNY,CPI (MoM)  (Aug),0.1%
2021-09-09,CNY,CPI (YoY)  (Aug),0.8%
2021-09-09,USD,Continuing Jobless Claims,"2,783K"
2021-09-09,USD,Initial Jobless Claims,310K
2021-09-10,EUR,German CPI (YoY)  (Aug),3.9%
2021-09-10,EUR,German CPI (MoM)  (Aug),0.0%
2021-09-10,GBP,GDP (MoM),0.1%
2021-09-10,GBP,GDP (YoY),7.5%
2021-09-10,GBP,Monthly GDP 3M/3M Change,3.6%
2021-09-10,GBP,NIESR Monthly GDP Tracker,2.4%
2021-09-14,GBP,Employment Change 3M/3M (MoM)  (Jul),183K
2021-09-14,GBP,Unemployment Rate  (Jul),4.6%
2021-09-14,USD,Core CPI (YoY)  (Aug),4.0%
2021-09-14,USD,Core CPI (MoM)  (Aug),0.1%
2021-09-14,USD,CPI (YoY)  (Aug),5.3%
2021-09-14,USD,CPI (MoM)  (Aug),0.3%
2021-09-15,CNY,Chinese Unemployment Rate,5.1%
2021-09-15,GBP,CPI (MoM)  (Aug),0.7%
2021-09-15,GBP,CPI (YoY)  (Aug),3.2%
2021-09-15,GBP,CPIH (YoY),3.0%
2021-09-16,USD,Continuing Jobless Claims,"2,665K"
2021-09-16,USD,Initial Jobless Claims,332K
2021-09-22,CNY,PBoC Loan Prime Rate,3.85%
2021-09-22,JPY,BoJ Monetary Policy Statement,
2021-09-22,JPY,BoJ Interest Rate Decision,-0.10%
2021-09-23,GBP,BoE Interest Rate Decision  (Sep),0.10%
2021-09-23,USD,Interest Rate Projection - 1st Yr  (Q3),0.30
2021-09-23,USD,Interest Rate Projection - 2nd Yr  (Q3),1.0
2021-09-23,USD,Interest Rate Projection - 3rd Yr  (Q3),1.8
2021-09-23,USD,Interest Rate Projection - Current  (Q3),0.1
2021-09-23,USD,Interest Rate Projection - Longer  (Q3),2.5
2021-09-23,USD,FOMC Statement,
2021-09-23,USD,Fed Interest Rate Decision,0.25%
2021-09-23,USD,Continuing Jobless Claims,"2,845K"
2021-09-23,USD,Initial Jobless Claims,351K
2021-09-24,JPY,National Core CPI (YoY)  (Aug),0.0%
2021-09-24,JPY,National CPI (MoM),-0.2%
2021-09-28,JPY,BoJ Core CPI (YoY),0.3%
2021-09-30,CNY,Chinese Composite PMI  (Sep),51.7
2021-09-30,CNY,Manufacturing PMI  (Sep),49.6
2021-09-30,CNY,Non-Manufacturing PMI  (Sep),53.2
2021-09-30,EUR,German Unemployment Change  (Sep),-30K
2021-09-30,EUR,German Unemployment Rate  (Sep),5.5%
2021-09-30,EUR,German CPI (MoM)  (Sep),0.0%
2021-09-30,EUR,German CPI (YoY)  (Sep),4.1%
2021-09-30,GBP,GDP (QoQ)  (Q2),5.5%
2021-09-30,GBP,GDP (YoY)  (Q2),23.6%
2021-09-30,USD,Continuing Jobless Claims,"2,802K"
2021-09-30,USD,Core PCE Prices  (Q2),6.10%
2021-09-30,USD,GDP (QoQ)  (Q2),6.7%
2021-09-30,USD,GDP Price Index (QoQ)  (Q2),6.2%
2021-09-30,USD,Initial Jobless Claims,362K
2021-09-30,USD,Chicago PMI  (Sep),64.7
2021-10-01,USD,Core PCE Price Index (YoY)  (Aug),3.6%
2021-10-01,USD,Core PCE Price Index (MoM)  (Aug),0.3%
2021-10-01,USD,PCE price index (MoM)  (Aug),0.4%
2021-10-01,USD,PCE Price index (YoY)  (Aug),4.3
2021-10-01,USD,ISM Manufacturing PMI  (Sep),61.1
2021-10-05,JPY,Tokyo Core CPI (YoY)  (Sep),0.1%
2021-10-05,USD,ISM Non-Manufacturing PMI  (Sep),61.9
2021-10-06,USD,ADP Nonfarm Employment Change  (Sep),568K
2021-10-07,USD,Continuing Jobless Claims,"2,714K"
2021-10-07,USD,Initial Jobless Claims,326K
2021-10-08,USD,Nonfarm Payrolls  (Sep),194K
2021-10-08,USD,Private Nonfarm Payrolls  (Sep),317K
2021-10-08,USD,U6 Unemployment Rate  (Sep),8.5%
2021-10-08,USD,Unemployment Rate  (Sep),4.8%
2021-10-12,GBP,Employment Change 3M/3M (MoM)  (Aug),235K
2021-10-12,GBP,Unemployment Rate  (Aug),4.5%
2021-10-13,EUR,German CPI (YoY)  (Sep),4.1%
2021-10-13,EUR,German CPI (MoM)  (Sep),0.0%
2021-10-13,GBP,GDP (MoM),0.4%
2021-10-13,GBP,GDP (YoY),6.9%
2021-10-13,GBP,Monthly GDP 3M/3M Change,2.9%
2021-10-13,GBP,NIESR Monthly GDP Tracker,1.5%
2021-10-13,USD,Core CPI (MoM)  (Sep),0.2%
2021-10-13,USD,Core CPI (YoY)  (Sep),4.0%
2021-10-13,USD,CPI (YoY)  (Sep),5.4%
2021-10-13,USD,CPI (MoM)  (Sep),0.4%
2021-10-14,CNY,CPI (MoM)  (Sep),0.0%
2021-10-14,CNY,CPI (YoY)  (Sep),0.7%
2021-10-14,USD,Continuing Jobless Claims,"2,593K"
2021-10-14,USD,Initial Jobless Claims,293K
2021-10-18,CNY,GDP (QoQ)  (Q3),0.2%
2021-10-18,CNY,GDP (YoY)  (Q3),4.9%
2021-10-18,CNY,Chinese GDP YTD  (YoY)  (Q3),9.8%
2021-10-18,CNY,Chinese Unemployment Rate,4.9%
2021-10-20,CNY,PBoC Loan Prime Rate,3.85%
2021-10-20,GBP,CPI (MoM)  (Sep),0.3%
2021-10-20,GBP,CPI (YoY)  (Sep),3.1%
2021-10-20,GBP,CPIH (YoY),2.9%
2021-10-21,USD,Continuing Jobless Claims,"2,481K"
2021-10-21,USD,Initial Jobless Claims,290K
2021-10-22,JPY,National Core CPI (YoY)  (Sep),0.1%
2021-10-22,JPY,National CPI (MoM),0.4%
2021-10-26,JPY,BoJ Core CPI (YoY),0.6%
2021-10-28,EUR,German Unemployment Change  (Oct),-39K
2021-10-28,EUR,German Unemployment Rate  (Oct),5.4%
2021-10-28,EUR,German CPI (YoY)  (Oct),4.5%
2021-10-28,EUR,German CPI (MoM)  (Oct),0.5%
2021-10-28,JPY,BoJ Interest Rate Decision,-0.10%
2021-10-28,JPY,BoJ Monetary Policy Statement,
2021-10-28,USD,Continuing Jobless Claims,"2,243K"
2021-10-28,USD,Core PCE Prices  (Q3),4.50%
2021-10-28,USD,GDP (QoQ)  (Q3),2.0%
2021-10-28,USD,GDP Price Index (QoQ)  (Q3),5.7%
2021-10-28,USD,Initial Jobless Claims,281K
2021-10-29,EUR,German GDP (YoY)  (Q3),2.5%
2021-10-29,EUR,German GDP (QoQ)  (Q3),1.8%
2021-10-29,JPY,Tokyo Core CPI (YoY)  (Oct),0.1%
2021-10-29,USD,Core PCE Price Index (YoY)  (Sep),3.6%
2021-10-29,USD,Core PCE Price Index (MoM)  (Sep),0.2%
2021-10-29,USD,PCE Price index (YoY)  (Sep),4.4
2021-10-29,USD,PCE price index (MoM)  (Sep),0.3%
2021-10-29,USD,Chicago PMI  (Oct),68.4
2021-10-31,CNY,Chinese Composite PMI  (Oct),50.8
2021-10-31,CNY,Manufacturing PMI  (Oct),49.2
2021-10-31,CNY,Non-Manufacturing PMI  (Oct),52.4
2021-11-01,USD,ISM Manufacturing PMI  (Oct),60.8
2021-11-02,JPY,BoJ Monetary Policy Statement,
2021-11-03,USD,ADP Nonfarm Employment Change  (Oct),571K
2021-11-03,USD,ISM Non-Manufacturing PMI  (Oct),66.7
2021-11-04,GBP,BoE Interest Rate Decision  (Nov),0.10%
2021-11-04,USD,FOMC Statement,
2021-11-04,USD,Fed Interest Rate Decision,0.25%
2021-11-04,USD,Continuing Jobless Claims,"2,105K"
2021-11-04,USD,Initial Jobless Claims,269K
2021-11-05,USD,Nonfarm Payrolls  (Oct),531K
2021-11-05,USD,Private Nonfarm Payrolls  (Oct),604K
2021-11-05,USD,U6 Unemployment Rate  (Oct),8.3%
2021-11-05,USD,Unemployment Rate  (Oct),4.6%
2021-11-10,CNY,CPI (MoM)  (Oct),0.7%
2021-11-10,CNY,CPI (YoY)  (Oct),1.5%
2021-11-10,EUR,German CPI (YoY)  (Oct),4.5%
2021-11-10,EUR,German CPI (MoM)  (Oct),0.5%
2021-11-10,USD,Continuing Jobless Claims,"2,160K"
2021-11-10,USD,Core CPI (MoM)  (Oct),0.6%
2021-11-10,USD,Core CPI (YoY)  (Oct),4.6%
2021-11-10,USD,CPI (MoM)  (Oct),0.9%
2021-11-10,USD,CPI (YoY)  (Oct),6.2%
2021-11-10,USD,Initial Jobless Claims,267K
2021-11-11,GBP,GDP (QoQ)  (Q3),1.3%
2021-11-11,GBP,GDP (MoM),0.6%
2021-11-11,GBP,GDP (YoY)  (Q3),5.3%
2021-11-11,GBP,Monthly GDP 3M/3M Change,1.3%
2021-11-11,GBP,NIESR Monthly GDP Tracker,1.0%
2021-11-15,CNY,Chinese Unemployment Rate,4.9%
2021-11-15,JPY,GDP (QoQ)  (Q3),-0.8%
2021-11-15,JPY,GDP (YoY)  (Q3),-3.0%
2021-11-15,JPY,GDP Price Index (YoY),-1.1%
2021-11-16,GBP,Employment Change 3M/3M (MoM)  (Sep),247K
2021-11-16,GBP,Unemployment Rate  (Sep),4.3%
2021-11-17,GBP,CPIH (YoY),3.8%
2021-11-17,GBP,CPI (MoM)  (Oct),1.1%
2021-11-17,GBP,CPI (YoY)  (Oct),4.2%
2021-11-18,USD,Continuing Jobless Claims,"2,080K"
2021-11-18,USD,Initial Jobless Claims,268K
2021-11-19,JPY,National Core CPI (YoY)  (Oct),0.1%
2021-11-19,JPY,National CPI (MoM),-0.3%
2021-11-22,CNY,PBoC Loan Prime Rate,3.85%
2021-11-24,JPY,BoJ Core CPI (YoY),0.6%
2021-11-24,USD,Continuing Jobless Claims,"2,049K"
2021-11-24,USD,Core PCE Prices  (Q3),4.50%
2021-11-24,USD,GDP (QoQ)  (Q3),2.1%
2021-11-24,USD,GDP Price Index (QoQ)  (Q3),5.9%
2021-11-24,USD,Initial Jobless Claims,199K
2021-11-24,USD,Core PCE Price Index (YoY)  (Oct),4.1%
2021-11-24,USD,Core PCE Price Index (MoM)  (Oct),0.4%
2021-11-24,USD,PCE price index (MoM)  (Oct),0.6%
2021-11-24,USD,PCE Price index (YoY)  (Oct),5.0
2021-11-25,EUR,German GDP (YoY)  (Q3),2.5%
2021-11-25,EUR,German GDP (QoQ)  (Q3),1.7%
2021-11-26,JPY,Tokyo Core CPI (YoY)  (Nov),0.3%
2021-11-29,EUR,German CPI (YoY)  (Nov),5.2%
2021-11-29,EUR,German CPI (MoM)  (Nov),-0.2%
2021-11-30,CNY,Chinese Composite PMI  (Nov),52.2
2021-11-30,CNY,Manufacturing PMI  (Nov),50.1
2021-11-30,CNY,Non-Manufacturing PMI  (Nov),52.3
2021-11-30,EUR,German Unemployment Change  (Nov),-34K
2021-11-30,EUR,German Unemployment Rate  (Nov),5.3%
2021-11-30,USD,Chicago PMI  (Nov),61.8
2021-12-01,USD,ADP Nonfarm Employment Change  (Nov),534K
2021-12-01,USD,ISM Manufacturing PMI  (Nov),61.1
2021-12-02,USD,Continuing Jobless Claims,"1,956K"
2021-12-02,USD,Initial Jobless Claims,222K
2021-12-03,USD,Nonfarm Payrolls  (Nov),210K
2021-12-03,USD,Private Nonfarm Payrolls  (Nov),235K
2021-12-03,USD,U6 Unemployment Rate  (Nov),7.8%
2021-12-03,USD,Unemployment Rate  (Nov),4.2%
2021-12-03,USD,ISM Non-Manufacturing PMI  (Nov),69.1
2021-12-08,JPY,GDP (YoY)  (Q3),-3.6%
2021-12-08,JPY,GDP (QoQ)  (Q3),-0.9%
2021-12-08,JPY,GDP Price Index (YoY),-1.2%
2021-12-09,CNY,CPI (MoM)  (Nov),0.4%
2021-12-09,CNY,CPI (YoY)  (Nov),2.3%
2021-12-09,USD,Continuing Jobless Claims,"1,992K"
2021-12-09,USD,Initial Jobless Claims,184K
2021-12-10,EUR,German CPI (MoM)  (Nov),-0.2%
2021-12-10,EUR,German CPI (YoY)  (Nov),5.2%
2021-12-10,GBP,GDP (MoM),0.1%
2021-12-10,GBP,Monthly GDP 3M/3M Change,0.9%
2021-12-10,GBP,NIESR Monthly GDP Tracker,0.9%
2021-12-10,USD,Core CPI (YoY)  (Nov),4.9%
2021-12-10,USD,Core CPI (MoM)  (Nov),0.5%
2021-12-10,USD,CPI (YoY)  (Nov),6.8%
2021-12-10,USD,CPI (MoM)  (Nov),0.8%
2021-12-14,GBP,Employment Change 3M/3M (MoM)  (Oct),149K
2021-12-14,GBP,Unemployment Rate  (Oct),4.2%
2021-12-15,GBP,CPIH (YoY),4.6%
2021-12-15,GBP,CPI (MoM)  (Nov),0.7%
2021-12-15,GBP,CPI (YoY)  (Nov),5.1%
2021-12-16,GBP,BoE Interest Rate Decision  (Dec),0.25%
2021-12-16,USD,Interest Rate Projection - 1st Yr  (Q4),0.90
2021-12-16,USD,Interest Rate Projection - 2nd Yr  (Q4),1.6
2021-12-16,USD,Interest Rate Projection - 3rd Yr  (Q4),2.1
2021-12-16,USD,Interest Rate Projection - Current  (Q4),0.1
2021-12-16,USD,Interest Rate Projection - Longer  (Q4),2.5
2021-12-16,USD,FOMC Statement,
2021-12-16,USD,Fed Interest Rate Decision,0.25%
2021-12-16,USD,Continuing Jobless Claims,"1,845K"
2021-12-16,USD,Initial Jobless Claims,206K
2021-12-17,JPY,BoJ Monetary Policy Statement,
2021-12-17,JPY,BoJ Interest Rate Decision,-0.10%
2021-12-20,CNY,PBoC Loan Prime Rate,3.80%
2021-12-22,GBP,GDP (YoY)  (Q3),6.8%
2021-12-22,GBP,GDP (QoQ)  (Q3),1.1%
2021-12-22,USD,Core PCE Prices  (Q3),4.60%
2021-12-22,USD,GDP (QoQ)  (Q3),2.3%
2021-12-22,USD,GDP Price Index (QoQ)  (Q3),5.9%
2021-12-23,USD,Continuing Jobless Claims,"1,859K"
2021-12-23,USD,Core PCE Price Index (MoM)  (Nov),0.5%
2021-12-23,USD,Core PCE Price Index (YoY)  (Nov),4.7%
2021-12-23,USD,Initial Jobless Claims,205K
2021-12-23,USD,PCE Price index (YoY)  (Nov),5.7
2021-12-23,USD,PCE price index (MoM)  (Nov),0.6%
2021-12-24,JPY,National Core CPI (YoY)  (Nov),0.5%
2021-12-24,JPY,National CPI (MoM),0.3%
2021-12-28,JPY,BoJ Core CPI (YoY),0.8%
2021-12-30,USD,Continuing Jobless Claims,"1,716K"
2021-12-30,USD,Initial Jobless Claims,198K
2021-12-30,USD,Chicago PMI  (Dec),63.1
2021-12-31,CNY,Chinese Composite PMI  (Dec),52.2
2021-12-31,CNY,Manufacturing PMI  (Dec),50.3
2021-12-31,CNY,Non-Manufacturing PMI  (Dec),52.7
2022-01-04,EUR,German Unemployment Change  (Dec),-23K
2022-01-04,EUR,German Unemployment Rate  (Dec),5.2%
2022-01-04,USD,ISM Manufacturing PMI  (Dec),58.7
2022-01-05,USD,ADP Nonfarm Employment Change  (Dec),807K
2022-01-06,EUR,German CPI (MoM)  (Dec),0.5%
2022-01-06,EUR,German CPI (YoY)  (Dec),5.3%
2022-01-06,USD,Continuing Jobless Claims,"1,754K"
2022-01-06,USD,Initial Jobless Claims,207K
2022-01-06,USD,ISM Non-Manufacturing PMI  (Dec),62.0
2022-01-07,JPY,Tokyo Core CPI (YoY)  (Dec),0.5%
2022-01-07,USD,Nonfarm Payrolls  (Dec),199K
2022-01-07,USD,Private Nonfarm Payrolls  (Dec),211K
2022-01-07,USD,U6 Unemployment Rate  (Dec),7.3%
2022-01-07,USD,Unemployment Rate  (Dec),3.9%
2022-01-12,CNY,CPI (YoY)  (Dec),1.5%
2022-01-12,CNY,CPI (MoM)  (Dec),-0.3%
2022-01-12,USD,Core CPI (YoY)  (Dec),5.5%
2022-01-12,USD,Core CPI (MoM)  (Dec),0.6%
2022-01-12,USD,CPI (YoY)  (Dec),7.0%
2022-01-12,USD,CPI (MoM)  (Dec),0.5%
2022-01-13,USD,Continuing Jobless Claims,"1,559K"
2022-01-13,USD,Initial Jobless Claims,230K
2022-01-14,GBP,GDP (MoM),0.9%
2022-01-14,GBP,Monthly GDP 3M/3M Change,1.1%
2022-01-14,GBP,NIESR Monthly GDP Tracker,1.2%
2022-01-17,CNY,GDP (YoY)  (Q4),4.0%
2022-01-17,CNY,GDP (QoQ)  (Q4),1.6%
2022-01-17,CNY,Chinese GDP YTD  (YoY)  (Q4),8.1%
2022-01-17,CNY,Chinese Unemployment Rate,5.1%
2022-01-18,GBP,Employment Change 3M/3M (MoM)  (Nov),60K
2022-01-18,GBP,Unemployment Rate  (Nov),4.1%
2022-01-18,JPY,BoJ Interest Rate Decision,-0.10%
2022-01-18,JPY,BoJ Monetary Policy Statement,
2022-01-19,EUR,German CPI (MoM)  (Dec),0.5%
2022-01-19,EUR,German CPI (YoY)  (Dec),5.3%
2022-01-19,GBP,CPIH (YoY),4.8%
2022-01-19,GBP,CPI (YoY)  (Dec),5.4%
2022-01-19,GBP,CPI (MoM)  (Dec),0.5%
2022-01-20,CNY,PBoC Loan Prime Rate,3.70%
2022-01-20,USD,Continuing Jobless Claims,"1,635K"
2022-01-20,USD,Initial Jobless Claims,286K
2022-01-21,JPY,National Core CPI (YoY)  (Dec),0.5%
2022-01-21,JPY,National CPI (MoM),0.1%
2022-01-25,JPY,BoJ Core CPI (YoY),0.9%
2022-01-27,USD,FOMC Statement,
2022-01-27,USD,Fed Interest Rate Decision,0.25%
2022-01-27,USD,Continuing Jobless Claims,"1,675K"
2022-01-27,USD,Core PCE Prices  (Q4),4.90%
2022-01-27,USD,GDP (QoQ)  (Q4),6.9%
2022-01-27,USD,GDP Price Index (QoQ)  (Q4),7.0%
2022-01-27,USD,Initial Jobless Claims,260K
2022-01-28,EUR,German GDP (QoQ)  (Q4),-0.7%
2022-01-28,EUR,German GDP (YoY)  (Q4),1.4%
2022-01-28,JPY,Tokyo Core CPI (YoY)  (Jan),0.2%
2022-01-28,USD,Core PCE Price Index (MoM)  (Dec),0.5%
2022-01-28,USD,Core PCE Price Index (YoY)  (Dec),4.9%
2022-01-28,USD,PCE Price index (YoY)  (Dec),5.8
2022-01-28,USD,PCE price index (MoM)  (Dec),0.4%
2022-01-30,CNY,Chinese Composite PMI  (Dec),51.0
2022-01-30,CNY,Manufacturing PMI  (Jan),50.1
2022-01-30,CNY,Non-Manufacturing PMI  (Jan),51.1
2022-01-31,EUR,German CPI (MoM)  (Jan),0.4%
2022-01-31,EUR,German CPI (YoY)  (Jan),4.9%
2022-01-31,USD,Chicago PMI  (Jan),65.2
2022-02-01,EUR,German Unemployment Change  (Jan),-48K
2022-02-01,EUR,German Unemployment Rate  (Jan),5.1%
2022-02-01,USD,ISM Manufacturing PMI  (Jan),57.6
2022-02-02,USD,ADP Nonfarm Employment Change  (Jan),-301K
2022-02-03,GBP,BoE Interest Rate Decision  (Feb),0.50%
2022-02-03,USD,Continuing Jobless Claims,"1,628K"
2022-02-03,USD,Initial Jobless Claims,238K
2022-02-03,USD,ISM Non-Manufacturing PMI  (Jan),59.9
2022-02-04,USD,Nonfarm Payrolls  (Jan),467K
2022-02-04,USD,Private Nonfarm Payrolls  (Jan),444K
2022-02-04,USD,U6 Unemployment Rate  (Jan),7.1%
2022-02-04,USD,Unemployment Rate  (Jan),4.0%
2022-02-07,CNY,Chinese Composite PMI,50.1
2022-02-10,USD,Continuing Jobless Claims,"1,621K"
2022-02-10,USD,Core CPI (YoY)  (Jan),6.0%
2022-02-10,USD,Core CPI (MoM)  (Jan),0.6%
2022-02-10,USD,CPI (YoY)  (Jan),7.5%
2022-02-10,USD,CPI (MoM)  (Jan),0.6%
2022-02-10,USD,Initial Jobless Claims,223K
2022-02-11,EUR,German CPI (MoM)  (Jan),0.4%
2022-02-11,EUR,German CPI (YoY)  (Jan),4.9%
2022-02-11,GBP,GDP (YoY)  (Q4),6.5%
2022-02-11,GBP,GDP (QoQ)  (Q4),1.0%
2022-02-11,GBP,GDP (MoM),-0.2%
2022-02-11,GBP,Monthly GDP 3M/3M Change,1.0%
2022-02-11,GBP,NIESR Monthly GDP Tracker,0.9%
2022-02-15,GBP,Employment Change 3M/3M (MoM)  (Dec),-38K
2022-02-15,GBP,Unemployment Rate  (Dec),4.1%
2022-02-15,JPY,GDP (YoY)  (Q4),5.4%
2022-02-15,JPY,GDP (QoQ)  (Q4),1.3%
2022-02-16,CNY,CPI (MoM)  (Jan),0.4%
2022-02-16,CNY,CPI (YoY)  (Jan),0.9%
2022-02-16,GBP,CPIH (YoY),4.9%
2022-02-16,GBP,CPI (YoY)  (Jan),5.5%
2022-02-16,GBP,CPI (MoM)  (Jan),-0.1%
2022-02-17,USD,Continuing Jobless Claims,"1,593K"
2022-02-17,USD,Initial Jobless Claims,248K
2022-02-18,JPY,National Core CPI (YoY)  (Jan),0.2%
2022-02-18,JPY,National CPI (MoM),0.1%
2022-02-21,CNY,PBoC Loan Prime Rate,3.70%
2022-02-22,JPY,BoJ Core CPI (YoY),0.8%
2022-02-24,USD,Continuing Jobless Claims,"1,476K"
2022-02-24,USD,Core PCE Prices  (Q4),5.00%
2022-02-24,USD,GDP (QoQ)  (Q4),7.0%
2022-02-24,USD,GDP Price Index (QoQ)  (Q4),7.2%
2022-02-24,USD,Initial Jobless Claims,232K
2022-02-25,EUR,German GDP (YoY)  (Q4),1.8%
2022-02-25,EUR,German GDP (QoQ)  (Q4),-0.3%
2022-02-25,JPY,Tokyo Core CPI (YoY)  (Feb),0.5%
2022-02-25,USD,Core PCE Price Index (MoM)  (Jan),0.5%
2022-02-25,USD,Core PCE Price Index (YoY)  (Jan),5.2%
2022-02-25,USD,PCE Price index (YoY)  (Jan),6.1
2022-02-25,USD,PCE price index (MoM)  (Jan),0.6%
2022-02-28,USD,Chicago PMI  (Feb),56.3
2022-03-01,CNY,Chinese Composite PMI  (Feb),51.2
2022-03-01,CNY,Manufacturing PMI  (Feb),50.2
2022-03-01,CNY,Non-Manufacturing PMI  (Feb),51.6
2022-03-01,EUR,German CPI (YoY)  (Feb),5.1%
2022-03-01,EUR,German CPI (MoM)  (Feb),0.9%
2022-03-01,USD,ISM Manufacturing PMI  (Feb),58.6
2022-03-02,EUR,German Unemployment Change  (Feb),-33K
2022-03-02,EUR,German Unemployment Rate  (Feb),5.0%
2022-03-02,USD,ADP Nonfarm Employment Change  (Feb),475K
2022-03-03,USD,Continuing Jobless Claims,"1,476K"
2022-03-03,USD,Initial Jobless Claims,215K
2022-03-03,USD,ISM Non-Manufacturing PMI  (Feb),56.5
2022-03-04,USD,Nonfarm Payrolls  (Feb),678K
2022-03-04,USD,Private Nonfarm Payrolls  (Feb),654K
2022-03-04,USD,U6 Unemployment Rate  (Feb),7.2%
2022-03-04,USD,Unemployment Rate  (Feb),3.8%
2022-03-09,CNY,CPI (YoY)  (Feb),0.9%
2022-03-09,CNY,CPI (MoM)  (Feb),0.6%
2022-03-09,JPY,GDP (YoY)  (Q4),4.6%
2022-03-09,JPY,GDP (QoQ)  (Q4),1.1%
2022-03-09,JPY,GDP Price Index (YoY),-1.3%
2022-03-10,USD,Continuing Jobless Claims,"1,494K"
2022-03-10,USD,Core CPI (MoM)  (Feb),0.5%
2022-03-10,USD,Core CPI (YoY)  (Feb),6.4%
2022-03-10,USD,CPI (YoY)  (Feb),7.9%
2022-03-10,USD,CPI (MoM)  (Feb),0.8%
2022-03-10,USD,Initial Jobless Claims,227K
2022-03-11,EUR,German CPI (MoM)  (Feb),0.9%
2022-03-11,EUR,German CPI (YoY)  (Feb),5.1%
2022-03-11,GBP,GDP (MoM),0.8%
2022-03-11,GBP,GDP (YoY),10.0%
2022-03-11,GBP,Monthly GDP 3M/3M Change,1.1%
2022-03-15,CNY,Chinese Unemployment Rate,5.5%
2022-03-15,GBP,Employment Change 3M/3M (MoM)  (Jan),-12K
2022-03-15,GBP,Unemployment Rate  (Jan),3.9%
2022-03-17,GBP,BoE Interest Rate Decision  (Mar),0.75%
2022-03-17,USD,Interest Rate Projection - 1st Yr  (Q1),2.80
2022-03-17,USD,Interest Rate Projection - 2nd Yr  (Q1),2.8
2022-03-17,USD,Interest Rate Projection - Current  (Q1),1.9
2022-03-17,USD,Interest Rate Projection - Longer  (Q1),2.4
2022-03-17,USD,FOMC Statement,
2022-03-17,USD,Fed Interest Rate Decision,0.50%
2022-03-17,USD,Continuing Jobless Claims,"1,419K"
2022-03-17,USD,Initial Jobless Claims,214K
2022-03-18,JPY,National Core CPI (YoY)  (Feb),0.6%
2022-03-18,JPY,National CPI (MoM),0.4%
2022-03-18,JPY,BoJ Interest Rate Decision,-0.10%
2022-03-18,JPY,BoJ Monetary Policy Statement,
2022-03-21,CNY,PBoC Loan Prime Rate,3.70%
2022-03-23,GBP,CPIH (YoY),5.5%
2022-03-23,GBP,CPI (YoY)  (Feb),6.2%
2022-03-23,GBP,CPI (MoM)  (Feb),0.8%
2022-03-23,JPY,BoJ Core CPI (YoY),1.0%
2022-03-24,USD,Continuing Jobless Claims,"1,350K"
2022-03-24,USD,Initial Jobless Claims,187K
2022-03-25,JPY,Tokyo Core CPI (YoY)  (Mar),0.8%
2022-03-30,EUR,German CPI (MoM)  (Mar),2.5%
2022-03-30,EUR,German CPI (YoY)  (Mar),7.3%
2022-03-30,USD,ADP Nonfarm Employment Change  (Mar),455K
2022-03-30,USD,Core PCE Prices  (Q4),5.00%
