Kanwil;Area;Jenis;Vendor;UP;HPP;Margin;Jumlah Keping;Jumlah Gram
KANWIL MAKASAR;AREA PALOPO;UMUM;;5192582564;6193447000;671011335;1597;5851,5600
KANWIL MAKASAR;AREA PARE-PARE;UMUM;;5802220015;6944157000;870227628;1521;6576,5000
KANWIL MAKASSAR;AREA AMBON;ARISAN;;114377700;134562000;7089108;48;132,0000
KANWIL MAKASSAR;AREA BANTAENG;ARISAN;;98688400;116104000;9910029;59;112,0000
KANWIL MAKASSAR;AREA KENDARI;ARISAN;;64146500;74617000;4469718;35;72,0000
KANWIL MAKASSAR;AREA MAKASAR 1;ARISAN;;666137350;783691000;54230210;207;771,0000
KANWIL MAKASSAR;AREA MAKASAR 2;ARISAN;;829078950;975387000;88299076;328;952,0000
KANWIL MAKASSAR;AREA PALOPO;ARISAN;;366398400;430491000;29368332;99;423,0000
KANWIL MAKASSAR;AREA PARE-PARE;ARISAN;;352291000;414460000;33735240;191;401,0000
KANWIL MAKASSAR;AREA AMBON;PEGAWAI;;44551840;48274000;2472222;14;47,0000
KANWIL MAKASSAR;AREA BANTAENG;PEGAWAI;;340415590;347970000;27672366;56;345,5000
KANWIL MAKASSAR;AREA KENDARI;PEGAWAI;;96757400;99760000;7759956;13;102,0000
KANWIL MAKASSAR;AREA MAKASAR 1;PEGAWAI;;156071725;178630000;10251834;35;176,0000
KANWIL MAKASSAR;AREA MAKASAR 2;PEGAWAI;;446946690;477224000;25775550;51;473,2500
KANWIL MAKASSAR;AREA PALOPO;PEGAWAI;;97286180;100072000;5661546;28;98,0000
KANWIL MAKASSAR;AREA PARE-PARE;PEGAWAI;;81909500;82673000;5459922;8;82,0000
KANWIL MAKASSAR;AREA AMBON;UMUM;;7240830592;8586103000;1091762412;1156;8476,0000
KANWIL MAKASSAR;AREA BANTAENG;UMUM;;4066955795;4988220000;618307176;700;4921,0000
KANWIL MAKASSAR;AREA KENDARI;UMUM;;8201650001;9818034000;1390391634;944;9719,0000
KANWIL MAKASSAR;AREA MAKASAR 1;UMUM;;8312308879;9908084000;1183569582;1188;9787,0000
KANWIL MAKASSAR;AREA MAKASAR 2;UMUM;;7230521442;8638318000;1179483618;974;8544,0000
KANWIL MAKASSAR;AREA PALOPO;UMUM;;6297309824;7450660000;842722398;1384;7324,0000
KANWIL MAKASSAR;AREA PARE-PARE;UMUM;;4708498462;5900748000;728510571;1053;5813,5000
KANWIL MANADO;AREA GORONTALO;ARISAN;;252246000;296760000;23696034;79;283,0000
KANWIL MANADO;AREA JAYAPURA;ARISAN;;204109650;240129000;14963906;39;236,0000
KANWIL MANADO;AREA MANADO 1;ARISAN;;592857750;696723000;48695247;164;676,0000
KANWIL MANADO;AREA MANADO 2;ARISAN;;151153800;177828000;12567390;42;174,0000
KANWIL MANADO;AREA PALU;ARISAN;;320141700;373698000;34214644;104;366,0000
KANWIL MANADO;AREA SORONG;ARISAN;;389247300;457938000;37552629;89;439,0000
KANWIL MANADO;AREA GORONTALO;PEGAWAI;;223273500;229447000;11628876;48;221,5000
KANWIL MANADO;AREA JAYAPURA;PEGAWAI;;58222910;63817000;4310964;14;63,5000
KANWIL MANADO;AREA MANADO 1;PEGAWAI;;734109310;792201000;59321676;174;757,5600
KANWIL MANADO;AREA MANADO 2;PEGAWAI;;228774056;235390000;16185408;70;224,5600
KANWIL MANADO;AREA PALU;PEGAWAI;;110479150;128002000;5896518;43;116,5000
KANWIL MANADO;AREA SORONG;PEGAWAI;;147033620;159700000;7821546;47;144,0000
KANWIL MANADO;AREA GORONTALO;UMUM;;15794625386;18704244000;1991171937;2439;18124,5000
KANWIL MANADO;AREA JAYAPURA;UMUM;;14313857050;16984688000;2276939076;1514;16628,5000
KANWIL MANADO;AREA MANADO 1;UMUM;;15584981141;18607529000;1784984853;2393;18187,5000
KANWIL MANADO;AREA MANADO 2;UMUM;;22713523956;26902521000;3266798370;5555;26173,5600
KANWIL MANADO;AREA PALU;UMUM;;6758396011;8040528000;946704345;1526;7751,5000
KANWIL MANADO;AREA SORONG;UMUM;;26704214088;31523983000;3347101305;2939;31192,0000
KANWIL MEDAN;AREA BANDA ACEH;ARISAN;;334615100;392906000;28667964;148;378,0000
KANWIL MEDAN;AREA MEDAN 1;ARISAN;;530418700;624022000;46370280;188;606,0000
KANWIL MEDAN;AREA MEDAN 2;ARISAN;;292468850;344081000;23927308;121;334,0000
KANWIL MEDAN;AREA RANTAU PRAPAT;ARISAN;;401572300;472438000;47453572;97;456,0000
KANWIL MEDAN;AREA BANDA ACEH;PEGAWAI;;839944934;874553000;43656804;197;825,5000
KANWIL MEDAN;AREA MEDAN 1;PEGAWAI;;562056695;654437000;36117378;54;651,0000
KANWIL MEDAN;AREA MEDAN 2;PEGAWAI;;238472400;245942000;17248530;24;244,0000
KANWIL MEDAN;AREA RANTAU PRAPAT;PEGAWAI;;204015980;238161000;12365538;21;236,0000
KANWIL MEDAN;AREA BANDA ACEH;UMUM;;7242921660;8690194000;1053000750;1716;8456,0000
KANWIL MEDAN;AREA MEDAN 1;UMUM;;24193421021;28765379000;3248112861;2980;28116,0000
KANWIL MEDAN;AREA MEDAN 2;UMUM;;18476348336;22179026000;2561024664;2856;21574,0000
KANWIL MEDAN;AREA RANTAU PRAPAT;UMUM;;14582635752;17392925000;2026842744;2454;16910,5000
KANWIL PALEMBANG;AREA JAMBI;ARISAN;;581891800;684334000;46406492;300;662,5000
KANWIL PALEMBANG;AREA LAMPUNG;ARISAN;;596888700;702222000;46419558;288;668,0000
KANWIL PALEMBANG;AREA PALEMBANG;ARISAN;;1487138950;1736311000;131786839;641;1681,0000
KANWIL PALEMBANG;AREA JAMBI;PEGAWAI;;3488894959;3539740200;275993244;342;3491,2500
KANWIL PALEMBANG;AREA LAMPUNG;PEGAWAI;;810904952;849505000;71458944;91;830,5000
KANWIL PALEMBANG;AREA PALEMBANG;PEGAWAI;;4120141590;4163086000;300176478;324;4100,0000
KANWIL PALEMBANG;AREA JAMBI;UMUM;;15205573594;18227255540;1999835628;3347;17703,5000
KANWIL PALEMBANG;AREA LAMPUNG;UMUM;;11863315921;14120760000;1424329200;1591;13741,5000
KANWIL PALEMBANG;AREA PALEMBANG;UMUM;;21941611939;26242283000;2505338673;3685;25477,0600
KANWIL PEKANBARU;AREA BATAM;ARISAN;;422046300;495780000;34673175;173;481,0000
KANWIL PEKANBARU;AREA PADANG;ARISAN;;366357650;431009000;33428933;280;402,0000
KANWIL PEKANBARU;AREA PEKANBARU;ARISAN;;1524649200;1792560000;170410565;212;1787,0000
KANWIL PEKANBARU;AREA BATAM;PEGAWAI;;310066640;379894000;17031288;113;356,5600
KANWIL PEKANBARU;AREA PADANG;PEGAWAI;;241572680;276483000;21540996;50;261,5600
KANWIL PEKANBARU;AREA PEKANBARU;PEGAWAI;;301125180;346267000;22156236;81;325,5000
KANWIL PEKANBARU;AREA BATAM;UMUM;;14589947400;17415458000;1851957537;2562;16913,5000
KANWIL PEKANBARU;AREA PADANG;UMUM;;10919263888;12972797000;1734494967;1741;12598,0000
