JK,bidikmisi,Sekolah,Kabupaten,Provinsi,Pilihan 1,Pilihan 2,Ranking Sekolah,Nilai Mapel UN,Lulus Pilihan,X1,X2,X3,X5,X6,X7,X8,X9,XT
0,1,472,93,6,9,13,187,82.51,0,10.5,10.3,1.0,10.3,10.3,10.3,10.3,11.3,74.3
1,1,586,93,6,6,10,23,83.43,0,10.4,10.4,1.0,10.4,10.4,10.4,10.4,11.3,74.8
0,1,211,15,6,25,7,40,82.88,0,10.5,10.4,1.0,10.4,10.4,10.4,10.4,10.0,73.3
1,1,586,93,6,1,27,23,84.7,0,10.5,10.6,1.0,10.6,10.6,10.6,10.6,11.3,74.7
0,1,71,19,6,21,15,62,83.88,0,10.5,10.5,1.0,10.5,10.5,10.5,10.5,9.4,73.3
1,0,429,93,6,0,28,259,83.26,1,10.6,10.4,1.0,10.4,10.4,10.4,10.4,11.3,73.9
0,0,286,15,6,0,6,161,86.08,1,10.9,10.8,1.0,10.8,10.8,10.8,10.8,10.0,74.7
0,0,450,93,6,0,9,238,84.55,1,10.8,10.6,1.0,10.6,10.6,10.6,10.6,11.3,74.9
0,0,680,74,4,27,28,93,81.68,0,11.2,10.2,1.0,10.2,10.2,10.2,10.2,7.5,70.8
1,1,408,19,6,3,1,12,83.65,0,10.5,10.5,1.0,10.5,10.5,10.5,10.5,9.4,73.2
0,0,690,93,6,13,10,67,80.98,0,10.5,10.1,1.0,10.1,10.1,10.1,10.1,11.3,73.4
0,1,472,93,6,21,3,187,80.78,0,10.2,10.1,1.0,10.1,10.1,10.1,10.1,11.3,72.9
1,1,325,61,6,13,16,66,86.0,0,10.8,10.8,1.1,10.8,10.8,10.8,10.8,10.6,76.2
1,1,296,57,6,14,3,208,77.13,0,9.7,9.6,1.0,9.6,9.6,9.6,9.6,7.5,66.4
0,0,640,80,17,13,28,7,88.07,0,9.7,11.0,1.0,11.0,11.0,11.0,11.0,7.5,73.2
0,1,642,65,6,4,15,157,86.08,0,9.7,10.8,1.1,10.8,10.8,10.8,10.8,10.0,74.5
1,1,241,30,6,6,5,191,81.15,0,10.4,10.1,1.0,10.1,10.1,10.1,10.1,7.5,69.6
0,1,408,19,6,9,3,12,82.96,0,10.4,10.4,1.0,10.4,10.4,10.4,10.4,9.4,72.7
0,0,84,31,8,0,9,42,87.67,1,11.0,11.0,1.0,11.0,11.0,11.0,11.0,7.5,73.3
0,0,807,93,6,10,4,40,83.71,0,10.4,10.5,1.0,10.5,10.5,10.5,10.5,11.3,75.0
